X,Y,Z,Classification,NumberOfReturns,ReturnNumber,Intensity
276592.05,1557996.04,219.48,5,1,1,20
276591.62,1557995.89,220.07,5,1,1,26
276591.05,1557995.65,220.12,5,1,1,26
276590.76,1557995.58,221.12,5,1,1,21
276590.36,1557995.44,221.70,5,1,1,22
276589.78,1557995.19,221.64,5,1,1,30
276589.27,1557994.99,221.81,5,1,1,32
276588.70,1557994.75,221.76,5,1,1,23
276576.59,1557989.70,222.17,2,1,1,30
276574.80,1557988.96,222.52,2,1,1,29
276574.62,1557988.89,222.57,2,1,1,28
276573.78,1557988.54,222.74,2,1,1,26
276573.66,1557988.49,222.72,2,1,1,28
276573.32,1557988.35,222.73,2,1,1,32
276573.71,1557988.50,222.75,2,1,1,30
276573.93,1557988.58,222.64,2,1,1,34
276574.19,1557988.69,222.59,2,1,1,31
276575.24,1557989.11,222.41,2,1,1,31
276578.00,1557990.25,222.09,2,1,1,35
276578.65,1557990.52,222.12,2,1,1,33
276588.40,1557994.54,221.53,5,1,1,14
276588.92,1557994.76,221.60,5,1,1,23
276589.50,1557995.02,221.86,5,1,1,26
276589.84,1557995.13,221.29,5,1,1,29
276590.52,1557995.44,221.86,5,1,1,29
276590.75,1557995.49,220.88,5,1,1,20
276591.15,1557995.63,220.49,5,1,1,29
276591.54,1557995.77,220.00,5,1,1,30
276591.93,1557995.91,219.53,5,1,1,22
276593.46,1557996.62,221.00,5,2,1,15
276594.79,1557997.30,223.63,5,1,1,15
276595.52,1557997.63,224.23,5,1,1,19
276596.11,1557997.89,224.35,5,1,1,21
276597.23,1557998.44,226.20,5,1,1,21
276597.47,1557998.49,225.10,5,1,1,26
276598.13,1557998.78,225.40,5,1,1,34
276598.54,1557998.92,224.82,5,3,1,10
276597.14,1557998.11,220.08,5,3,2,6
276596.19,1557997.56,216.86,5,3,3,6
276597.81,1557998.40,220.35,5,1,1,17
276598.28,1557998.58,219.98,5,1,1,12
276599.62,1557999.26,222.51,5,2,1,16
276598.56,1557998.64,218.90,5,2,2,6
276600.21,1557999.50,222.51,5,1,1,20
276600.68,1557999.68,222.07,5,1,1,21
276601.34,1557999.96,222.25,5,1,1,17
276601.18,1557999.76,219.62,5,2,1,13
276599.59,1557998.84,214.15,5,2,2,7
276601.58,1557999.90,218.89,5,2,1,12
276599.88,1557998.91,213.03,5,2,2,6
276601.32,1557999.54,213.69,5,1,1,24
276601.77,1557999.70,213.11,5,1,1,32
276604.23,1557999.64,215.50,5,1,1,32
276603.33,1557999.24,214.87,5,1,1,30
276602.57,1557998.91,214.69,5,2,1,12
276601.48,1557998.39,213.36,5,1,1,19
276600.80,1557998.11,213.45,5,1,1,28
276602.84,1557999.41,222.86,5,2,1,2
276600.28,1557997.92,214.04,5,2,2,23
276602.18,1557999.14,222.95,5,2,1,17
276601.43,1557998.82,222.71,5,1,1,21
